2022-08-28 13:43:02,220, my_bot.py,INFO, успешное подключение к бд
2022-08-28 13:43:17,826, message_func.py, INFO, SQL запрос к БД
2022-08-28 13:43:17,861, message_func.py, ERROR, файл не найден
2022-08-28 13:44:25,902, my_bot.py,INFO, успешное подключение к бд
2022-08-28 13:44:28,205, message_func.py, INFO, SQL запрос к БД
2022-08-28 13:44:28,284, message_func.py, ERROR, файл не найден
2022-08-28 13:45:18,743, my_bot.py,INFO, успешное подключение к бд
2022-08-28 13:45:21,480, message_func.py, INFO, SQL запрос к БД
2022-08-28 13:45:22,887, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:45:24,351, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:45:25,631, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:45:27,149, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:45:30,516, message_func.py, INFO, SQL запрос к БД
2022-08-28 13:45:31,810, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:45:33,092, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:45:34,348, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:45:36,063, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:45:58,009, my_bot.py,INFO, успешное подключение к бд
2022-08-28 13:46:05,189, message_func.py, INFO, SQL запрос к БД
2022-08-28 13:46:06,590, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:08,183, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:13,221, message_func.py, INFO, SQL запрос к БД
2022-08-28 13:46:14,164, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:15,490, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:21,310, message_func.py, INFO, SQL запрос к БД
2022-08-28 13:46:22,303, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:23,823, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:39,791, message_func.py, INFO, SQL запрос к БД
2022-08-28 13:46:41,052, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:44,401, message_func.py, INFO, SQL запрос к БД
2022-08-28 13:46:45,578, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:46,836, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:48,114, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 13:46:57,826, my_bot.py,INFO, успешное подключение к бд
2022-08-28 18:36:14,807, my_bot.py,INFO, успешное подключение к бд
2022-08-28 18:41:06,909, my_bot.py,INFO, успешное подключение к бд
2022-08-28 18:41:15,161, message_func.py, INFO, SQL запрос к БД
2022-08-28 18:41:16,380, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 18:41:31,577, message_func.py, INFO, SQL запрос к БД
2022-08-28 18:41:32,486, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 18:42:00,394, message_func.py, INFO, SQL запрос к БД
2022-08-28 18:42:01,408, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 18:42:02,734, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 18:42:13,808, message_func.py, INFO, SQL запрос к БД
2022-08-28 18:42:14,742, message_func.py, INFO, файл картинки успешно прочитан
2022-08-28 18:42:16,007, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 10:48:45,292, my_bot.py,INFO, успешное подключение к бд
2022-08-29 10:49:12,587, message_func.py, INFO, SQL запрос к БД
2022-08-29 10:49:13,908, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 10:49:18,124, message_func.py, INFO, SQL запрос к БД
2022-08-29 10:49:19,414, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 10:49:20,898, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 10:49:25,100, message_func.py, INFO, SQL запрос к БД
2022-08-29 10:49:26,222, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 10:49:27,558, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 10:49:28,938, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:51:48,051, my_bot.py,INFO, успешное подключение к бд
2022-08-29 16:52:01,582, message_func.py, INFO, SQL запрос к БД
2022-08-29 16:52:02,585, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:03,882, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:05,190, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:13,239, message_func.py, INFO, SQL запрос к БД
2022-08-29 16:52:14,465, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:15,882, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:17,143, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:27,782, message_func.py, INFO, SQL запрос к БД
2022-08-29 16:52:28,691, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:30,024, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:31,302, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:38,033, message_func.py, INFO, SQL запрос к БД
2022-08-29 16:52:39,150, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:40,535, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:41,816, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:43,237, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:44,622, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:52:45,973, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:12,272, my_bot.py,INFO, успешное подключение к бд
2022-08-29 16:54:20,246, message_func.py, INFO, SQL запрос к БД
2022-08-29 16:54:21,580, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:22,852, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:24,242, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:25,815, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:29,464, message_func.py, INFO, SQL запрос к БД
2022-08-29 16:54:30,436, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:31,787, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:33,211, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:34,596, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:35,979, message_func.py, INFO, файл картинки успешно прочитан
2022-08-29 16:54:37,311, message_func.py, INFO, файл картинки успешно прочитан
